Date_dissected	Family	ID	Sample	Sex	Condition	Larval_diet	Femur_length	Tibia_Length	Tarsus_Length	Wing_Length	HeadWidth	HeadLength	Post-pedicel_Length	Arista_Length	Thorax_Length	Female_Oviscape	Female_posterior_spermathecae1	Female_posterior_spermathecae2	Female_Anterior_Spermatheca_Width	Male_Proximal_surstyli_Length	Male_Distal_surstyli_Length	Male_Apodeme_Length	Male_Aedeagus_Length	Male_Anterior_processus_Length	Male_Processus_Length	Male_testis_area	MaleSperm_bundle_Length	Male_Femur_spine_length
31/10/2018	F6	MS-61	F6_M5_RW1	M	Low	Poor	3.272	3.373	1.636	2.825	0.982	1.482	0.487	NA	1.861	NA	NA	NA	NA	0.275	0.264	1.034	1.085	0.169	1.98	0.192	0.155333333	0.030166667
31/10/2018	F6	MS-61	F6_M5_RW2	M	Low	Poor	3.258	3.382	1.646	2.83	0.987	1.489	0.489	NA	1.868	NA	NA	NA	NA	0.262	0.261	1.032	1.084	0.163	2.028	0.186	0.1575	0.0295
01/11/2018	F6	MS-62	F6_M6_RW1	M	Low	Poor	3.04	3.157	2.537	2.844	0.898	1.457	0.472	0.889	1.935	NA	NA	NA	NA	0.177	0.294	1.022	1.048	0.178	1.917	0.074	NA	0.029333333
01/11/2018	F6	MS-62	F6_M6_RW2	M	Low	Poor	3.04	3.103	2.556	2.849	0.903	1.464	0.462	0.881	1.954	NA	NA	NA	NA	0.18	0.292	1.022	1.053	0.173	1.884	0.085	NA	0.028666667
07/11/2018	F6	MS-75	F6_M7_RW1	M	Low	Poor	3.168	3.315	2.625	2.938	1.009	1.469	0.492	0.951	1.9	NA	NA	NA	NA	0.149	0.235	1.002	1.3	0.167	1.992	0.148	0.170166667	0.028833333
07/11/2018	F6	MS-75	F6_M7_RW2	M	Low	Poor	3.191	3.322	2.623	2.939	1.019	1.461	0.499	0.963	1.907	NA	NA	NA	NA	0.149	0.236	1.013	1.293	0.169	2.038	0.15	0.168833333	0.031333333
16/08/2018	F7	FS-1	F7_F1_RW1	F	Low	Poor	4.212	3.581	2.4	3.171	0.873	1.59	0.472	1.032	2.187	1.689	0.073	0.091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16/08/2018	F7	FS-1	F7_F1_RW2	F	Low	Poor	4.173	3.582	2.4	3.162	0.882	1.622	0.464	1.041	2.212	1.691	0.073	0.091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16/08/2018	F7	FS-2	F7_F2_RW1	F	Low	Poor	4.128	3.646	2.433	3.259	1.252	1.615	0.49	1.043	2.218	1.827	0.05	0.092	0.047	NA	NA	NA	NA	NA	NA	NA	NA	NA
16/08/2018	F7	FS-2	F7_F2_RW2	F	Low	Poor	4.122	3.62	2.463	3.277	1.249	1.635	0.498	1.031	2.23	1.838	0.052	0.095	0.048	NA	NA	NA	NA	NA	NA	NA	NA	NA
16/08/2018	F7	FS-3	F7_F3_RW1	F	Low	Poor	4.119	3.612	2.318	NA	1.224	1.549	0.512	0.999	2.319	1.567	0.103	0.103	0.081	NA	NA	NA	NA	NA	NA	NA	NA	NA
16/08/2018	F7	FS-3	F7_F3_RW2	F	Low	Poor	4.1	3.612	2.318	NA	1.177	1.555	0.509	1.002	2.348	1.574	0.103	0.105	0.079	NA	NA	NA	NA	NA	NA	NA	NA	NA
04/11/2018	F7	FS-55	F7_F4_RW1	F	High	Rich	5.001	4.421	NA	NA	1.521	1.99	0.576	1.149	2.664	2.031	0.056	0.053	0.052	NA	NA	NA	NA	NA	NA	NA	NA	NA
04/11/2018	F7	FS-55	F7_F4_RW2	F	High	Rich	4.955	4.393	NA	NA	1.527	2.001	0.588	1.109	2.672	2.029	0.057	0.054	0.053	NA	NA	NA	NA	NA	NA	NA	NA	NA
04/11/2018	F7	FS-56	F7_F5_RW1	F	High	Rich	5.046	4.384	2.926	3.84	1.425	1.907	0.541	1.17	2.715	2.095	NA	NA	0.071	NA	NA	NA	NA	NA	NA	NA	NA	NA
04/11/2018	F7	FS-56	F7_F5_RW2	F	High	Rich	5.047	4.295	2.927	3.837	1.424	1.904	0.541	1.172	2.701	2.09	NA	NA	0.072	NA	NA	NA	NA	NA	NA	NA	NA	NA
04/11/2018	F7	FS-57	F7_F6_RW1	F	High	Rich	4.929	4.31	2.976	3.727	1.491	1.875	0.575	1.129	2.627	2	0.073	0.088	0.061	NA	NA	NA	NA	NA	NA	NA	NA	NA
04/11/2018	F7	FS-57	F7_F6_RW2	F	High	Rich	4.931	4.328	2.968	3.728	1.48	1.888	0.582	1.114	2.632	1.996	0.076	0.09	0.059	NA	NA	NA	NA	NA	NA	NA	NA	NA
18/10/2018	F7	MS-36	F7_M1_RW1	M	Low	Poor	3.733	3.763	2.804	3.014	1.21	1.592	0.542	0.852	1.969	NA	NA	NA	NA	0.169	0.289	1.065	1.105	0.144	1.782	0.327	0.170333333	0.039166667
18/10/2018	F7	MS-36	F7_M1_RW2	M	Low	Poor	3.728	3.777	2.785	3.034	1.207	1.6	0.559	0.871	1.984	NA	NA	NA	NA	0.168	0.287	1.068	1.1	0.143	1.772	0.334	0.1725	0.038166667
25/10/2018	F7	MS-51	F7_M2_RW1	M	High	Rich	6.625	6.248	4.438	4.356	1.611	3.064	0.757	1.157	3.24	NA	NA	NA	NA	0.185	0.332	1.143	1.185	0.19	1.702	0.615	0.155	0.055
25/10/2018	F7	MS-51	F7_M2_RW2	M	High	Rich	6.638	6.251	4.484	4.338	1.614	3.088	0.785	1.157	3.254	NA	NA	NA	NA	0.186	0.33	1.157	1.178	0.189	1.687	0.635	0.157666667	0.060833333
04/11/2018	F7	MS-68	F7_M3_RW1	M	High	Rich	6.611	6.331	NA	4.446	1.577	2.85	0.839	1.195	3.176	NA	NA	NA	NA	0.184	0.324	1.162	NA	NA	NA	0.476	0.155166667	0.058
04/11/2018	F7	MS-68	F7_M3_RW2	M	High	Rich	6.606	6.323	NA	4.446	1.587	2.832	0.835	1.184	3.173	NA	NA	NA	NA	0.184	0.318	1.168	NA	NA	NA	0.46	0.159833333	0.056
