Year	LD(in_AprilDays)	ClutchsizeAge7	IDFemale
2011	12	11	R446506
2004	18	12	R446507
2015	18	NA	R446507
2017	4	11	R446507
2003	20	9	R446508
2004	25	9	R446508
2003	21	8	R446509
2004	26	8	R446509
2007	13	10	R446509
2003	25	8	R446510
2003	23	8	R446512
2008	7	11	R446512
2011	17	9	R446512
2003	18	9	R446513
2011	22	8	R446513
2003	23	9	R446516
2004	27	9	R446516
2016	18	NA	R446516
2005	21	10	R446517
2007	22	8	R446517
2012	11	6	R446517
2012	20	8	R446517
2010	13	11	R446519
2004	19	10	R446520
2015	16	NA	R446520
2013	33	NA	R446521
2003	23	9	R446522
2002	18	11	R446524
2003	23	8	R446524
2004	26	9	R446524
2016	23	NA	R446524
2003	26	7	R446525
2004	20	8	R446525
2013	39	9	R446525
2003	27	8	R446527
2004	26	9	R446527
2005	22	4	R446527
2005	24	9	R446527
2006	25	10	R446527
2007	20	8	R446527
2012	15	9	R446527
2003	24	10	R446528
2004	25	1	R446557
2016	18	NA	R627080
2012	12	4	R627131
2013	34	9	R627131
2003	30	6	R627132
2011	13	9	R627132
2004	29	7	R627180
2008	15	13	R627180
2004	35	8	R627460
2005	23	8	R627460
2008	30	7	R627460
2004	21	11	R627498
2013	25	11	R627702
2002	14	7	R627754
2004	25	9	R627754
2005	24	8	R627754
2013	29	7	R627754
2004	19	7	R627844
